Order_ID,Date,Delivery_Date,Department,Supplier,Category,Item_Description,Quantity,Unit_Price,Amount,Status,Priority,Lead_Time,Approved_By,Contract_ID
ORD-000032,2024-02-15,2024-03-12,HR,OfficeSupply Co.,Office Supplies,Training Materials,100,35.00,3500.00,Completed,Low,25,Sarah Williams,CONTRACT-4234
ORD-000033,2024-02-16,2024-03-08,IT,Cloud Services Inc.,Services,IT Support,1,8000.00,8000.00,Completed,High,20,John Doe,CONTRACT-5345
ORD-000034,2024-02-17,2024-03-15,Marketing,Marketing Pro,Marketing Materials,Event Materials,50,100.00,5000.00,Completed,Medium,26,Jane Smith,CONTRACT-6456
ORD-000035,2024-02-18,2024-03-10,Operations,Software Systems,Software,Inventory Software,2,3000.00,6000.00,Completed,Medium,20,Mike Johnson,CONTRACT-7567
ORD-000036,2024-02-19,2024-03-25,Finance,Consulting Group,Services,Audit Services,10,1500.00,15000.00,Completed,High,34,Sarah Williams,CONTRACT-8678
ORD-000037,2024-02-20,2024-03-12,Legal,Hardware Hub,Hardware,Document Scanners,2,1200.00,2400.00,Completed,Low,20,John Doe,CONTRACT-9789
ORD-000038,2024-02-21,2024-03-18,IT,TechCorp Solutions,Software,Database Software,3,2000.00,6000.00,Completed,Medium,25,Jane Smith,CONTRACT-0890
ORD-000039,2024-02-22,2024-03-15,Marketing,OfficeSupply Co.,Office Supplies,Promotional Items,500,8.00,4000.00,Completed,Low,21,Mike Johnson,CONTRACT-1901
ORD-000040,2024-02-23,2024-03-20,Operations,Facility Management,Services,Pest Control,1,2000.00,2000.00,Completed,Low,25,Sarah Williams,CONTRACT-3012
ORD-000041,2024-02-24,2024-03-18,Sales,Cloud Services Inc.,Services,Sales Analytics,1,9000.00,9000.00,Completed,High,22,John Doe,CONTRACT-4123
ORD-000042,2024-02-25,2024-03-22,HR,Software Systems,Software,Payroll Software,1,7000.00,7000.00,Completed,High,25,Jane Smith,CONTRACT-5234
ORD-000043,2024-02-26,2024-03-15,IT,Hardware Hub,Hardware,Computer Accessories,20,150.00,3000.00,Completed,Low,17,Mike Johnson,CONTRACT-6345
ORD-000044,2024-02-27,2024-03-25,Marketing,Marketing Pro,Services,Brand Consulting,1,8000.00,8000.00,Completed,Medium,26,Sarah Williams,CONTRACT-7456
ORD-000045,2024-02-28,2024-03-20,Operations,OfficeSupply Co.,Office Supplies,Packaging Materials,100,20.00,2000.00,Completed,Low,20,John Doe,CONTRACT-8567
ORD-000046,2024-02-29,2024-03-25,Finance,TechCorp Solutions,Hardware,Financial Calculators,10,200.00,2000.00,Completed,Low,24,Jane Smith,CONTRACT-9678
ORD-000047,2024-03-01,2024-03-28,Legal,Consulting Group,Services,Compliance Consulting,5,1200.00,6000.00,Completed,Medium,27,Mike Johnson,CONTRACT-0789
ORD-000048,2024-03-02,2024-03-30,IT,Cloud Services Inc.,Services,Cloud Computing,1,15000.00,15000.00,Completed,High,28,Sarah Williams,CONTRACT-1890
ORD-000049,2024-03-03,2024-03-25,Marketing,Software Systems,Software,Graphic Design Software,3,1500.00,4500.00,Completed,Medium,22,John Doe,CONTRACT-2901
ORD-000050,2024-03-04,2024-04-01,Operations,Facility Management,Services,Landscaping,1,3000.00,3000.00,Completed,Low,28,Jane Smith,CONTRACT-4012
